Country,Product_name,Quantity_purchased,Crop_name,Feedback,Comments,Price,Total_price,Manufacturing,Transaction_date,Expiration,Review,TextBlob_Polarity,TextBlob_Subjectivity,NLTK_Negative,NLTK_Neutral,NLTK_Positive,NLTK_Compound,Sentiment_Class
Bangladesh,Biscuit,87,"['Wheat', 'Sugar', 'Barley']",0,No Feedback,18,1566,2020-07-03,2020-08-30,2020-10-01,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Sri-Lanka,Maggi,88,['Wheat'],4,Good,30,2640,2022-05-18,2022-06-02,2022-08-16,Satisfactory purchase.,0.0,0.0,0.0,0.286,0.714,0.3612,Positive
Bhutan,Cookie,53,"['Barley', 'Sugar']",4,Good,105,5565,2021-07-15,2021-09-04,2021-10-13,Quite happy with the product.,0.8,1.0,0.0,0.5,0.5,0.6115,Positive
Sri-Lanka,Biscuit,90,"['Wheat', 'Sugar', 'Barley']",0,No Feedback,22,1980,2024-02-26,2024-04-16,2024-05-26,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Bhutan,Biscuit,63,"['Wheat', 'Sugar', 'Barley']",3,Average,25,1575,2022-04-25,2022-05-26,2022-07-24,Okay for the price.,0.5,0.5,0.0,0.612,0.388,0.2263,Positive
Bangladesh,Cookie,66,"['Barley', 'Sugar']",4,Good,80,5280,2022-10-28,2022-11-18,2023-01-26,Quite happy with the product.,0.8,1.0,0.0,0.5,0.5,0.6115,Positive
Nepal,Banana Chips,74,['Banana'],2,Poor,45,3330,2023-01-20,2023-03-22,2023-04-20,Below average product.,-0.15,0.39999999999999997,0.0,1.0,0.0,0.0,Neutral
Pakistan,Ketchup,63,['Tomato'],4,Good,55,3465,2020-03-24,2020-06-17,2020-06-22,"Good product, no issues.",0.7,0.6000000000000001,0.31,0.282,0.408,0.1779,Positive
Pakistan,Toffee,76,['Sugar'],0,No Feedback,12,912,2021-12-06,2022-01-31,2022-03-06,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Nepal,Biscuit,54,"['Wheat', 'Sugar', 'Barley']",3,Average,24,1296,2022-05-27,2022-07-08,2022-08-25,Okay for the price.,0.5,0.5,0.0,0.612,0.388,0.2263,Positive
Bangladesh,Toffee,24,['Sugar'],1,Very Poor,10,240,2020-07-10,2020-08-07,2020-10-08,Disappointed with the product.,-0.75,0.75,0.508,0.492,0.0,-0.4767,Negative
Bhutan,Banana Chips,85,['Banana'],5,Excellent,45,3825,2024-09-13,2024-10-09,2024-12-12,Exceeded my expectations!,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
Sri-Lanka,Pie,45,['Sugar'],4,Good,35,1575,2022-12-17,2023-03-12,2023-03-17,Satisfactory purchase.,0.0,0.0,0.0,0.286,0.714,0.3612,Positive
Pakistan,Biscuit,47,"['Wheat', 'Sugar', 'Barley']",1,Very Poor,15,705,2020-03-08,2020-05-26,2020-06-06,Would not recommend.,0.0,0.0,0.513,0.487,0.0,-0.2755,Negative
India,Nachos,78,['Maize'],2,Poor,65,5070,2022-02-04,2022-03-16,2022-05-05,"Not great, needs improvement.",-0.4,0.75,0.743,0.257,0.0,-0.6979,Negative
Bangladesh,Banana Chips,17,['Banana'],1,Very Poor,35,595,2025-07-13,2025-09-28,2025-10-11,Would not recommend.,0.0,0.0,0.513,0.487,0.0,-0.2755,Negative
Bhutan,Cookie,10,"['Barley', 'Sugar']",0,No Feedback,105,1050,2021-01-13,2021-01-25,2021-04-13,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Bangladesh,Khari,76,['Cumin'],1,Very Poor,20,1520,2024-02-20,2024-04-13,2024-05-20,Would not recommend.,0.0,0.0,0.513,0.487,0.0,-0.2755,Negative
Bangladesh,Ketchup,52,['Tomato'],3,Average,45,2340,2023-03-13,2023-05-31,2023-06-11,Decent product overall.,0.08333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,Neutral
Sri-Lanka,Cookie,91,"['Barley', 'Sugar']",1,Very Poor,85,7735,2021-08-03,2021-10-14,2021-11-01,Would not recommend.,0.0,0.0,0.513,0.487,0.0,-0.2755,Negative
Nepal,Cookie,24,"['Barley', 'Sugar']",4,Good,95,2280,2022-01-26,2022-02-23,2022-04-26,"Good product, no issues.",0.7,0.6000000000000001,0.31,0.282,0.408,0.1779,Positive
Pakistan,Pasta,40,"['Wheat', 'Barley']",2,Poor,75,3000,2023-08-10,2023-10-27,2023-11-08,Below average product.,-0.15,0.39999999999999997,0.0,1.0,0.0,0.0,Neutral
Bangladesh,Cookie,43,"['Barley', 'Sugar']",0,No Feedback,80,3440,2020-05-15,2020-07-24,2020-08-13,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Pakistan,Nachos,85,['Maize'],5,Excellent,60,5100,2020-01-17,2020-04-04,2020-04-16,Absolutely loved it!,0.875,0.8,0.0,0.308,0.692,0.6689,Positive
Sri-Lanka,Pasta,77,"['Wheat', 'Barley']",0,No Feedback,100,7700,2020-04-02,2020-06-04,2020-07-01,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Sri-Lanka,Nachos,27,['Maize'],4,Good,45,1215,2022-09-02,2022-09-25,2022-12-01,"Good product, no issues.",0.7,0.6000000000000001,0.31,0.282,0.408,0.1779,Positive
India,Nachos,90,['Maize'],5,Excellent,65,5850,2021-09-25,2021-11-23,2021-12-24,Absolutely loved it!,0.875,0.8,0.0,0.308,0.692,0.6689,Positive
India,Toffee,75,['Sugar'],4,Good,20,1500,2023-10-22,2023-12-10,2024-01-20,Quite happy with the product.,0.8,1.0,0.0,0.5,0.5,0.6115,Positive
Sri-Lanka,Banana Chips,41,['Banana'],0,No Feedback,25,1025,2023-04-15,2023-05-30,2023-07-14,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Bhutan,Biscuit,29,"['Wheat', 'Sugar', 'Barley']",1,Very Poor,25,725,2021-08-07,2021-08-27,2021-11-05,Very poor quality.,-0.52,0.78,0.629,0.371,0.0,-0.5256,Negative
Nepal,Biscuit,76,"['Wheat', 'Sugar', 'Barley']",0,No Feedback,24,1824,2025-03-28,2025-06-17,2025-06-26,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Sri-Lanka,Maggi,71,['Wheat'],4,Good,30,2130,2022-10-01,2022-10-13,2022-12-30,Quite happy with the product.,0.8,1.0,0.0,0.5,0.5,0.6115,Positive
Pakistan,Pie,49,['Sugar'],0,No Feedback,25,1225,2022-07-10,2022-08-05,2022-10-08,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Bhutan,Cookie,51,"['Barley', 'Sugar']",4,Good,105,5355,2022-10-21,2022-11-18,2023-01-19,Satisfactory purchase.,0.0,0.0,0.0,0.286,0.714,0.3612,Positive
India,Banana Chips,11,['Banana'],5,Excellent,40,440,2022-02-12,2022-05-08,2022-05-13,Exceeded my expectations!,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
Bangladesh,Banana Chips,56,['Banana'],2,Poor,35,1960,2022-08-31,2022-10-31,2022-11-29,Below average product.,-0.15,0.39999999999999997,0.0,1.0,0.0,0.0,Neutral
India,Ketchup,34,['Tomato'],0,No Feedback,60,2040,2023-06-30,2023-07-30,2023-09-28,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
India,Khari,22,['Cumin'],0,No Feedback,40,880,2022-07-01,2022-09-06,2022-09-29,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Pakistan,Pie,52,['Sugar'],0,No Feedback,25,1300,2022-09-17,2022-11-30,2022-12-16,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Bhutan,Biscuit,21,"['Wheat', 'Sugar', 'Barley']",5,Excellent,25,525,2020-04-04,2020-05-29,2020-07-03,Outstanding product quality!,0.625,0.875,0.0,0.318,0.682,0.6476,Positive
Bhutan,Cookie,38,"['Barley', 'Sugar']",0,No Feedback,105,3990,2024-09-07,2024-10-25,2024-12-06,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Bhutan,Cookie,53,"['Barley', 'Sugar']",4,Good,105,5565,2021-01-07,2021-02-20,2021-04-07,"Good product, no issues.",0.7,0.6000000000000001,0.31,0.282,0.408,0.1779,Positive
Bangladesh,Pie,70,['Sugar'],1,Very Poor,30,2100,2022-05-26,2022-06-30,2022-08-24,Would not recommend.,0.0,0.0,0.513,0.487,0.0,-0.2755,Negative
Sri-Lanka,Toffee,93,['Sugar'],1,Very Poor,10,930,2022-11-11,2023-01-17,2023-02-09,Would not recommend.,0.0,0.0,0.513,0.487,0.0,-0.2755,Negative
Nepal,Maggi,99,['Wheat'],3,Average,25,2475,2024-04-09,2024-05-02,2024-07-08,"Average product, nothing special.",0.10357142857142858,0.48571428571428565,0.429,0.571,0.0,-0.3089,Negative
Sri-Lanka,Toffee,67,['Sugar'],3,Average,10,670,2021-11-06,2022-01-28,2022-02-04,Decent product overall.,0.08333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,Neutral
Bangladesh,Ketchup,13,['Tomato'],3,Average,45,585,2022-05-07,2022-06-04,2022-08-05,Decent product overall.,0.08333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,Neutral
India,Pie,56,['Sugar'],5,Excellent,50,2800,2020-04-01,2020-05-13,2020-06-30,Exceeded my expectations!,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
Bhutan,Biscuit,64,"['Wheat', 'Sugar', 'Barley']",3,Average,25,1600,2021-07-16,2021-08-31,2021-10-14,"Average product, nothing special.",0.10357142857142858,0.48571428571428565,0.429,0.571,0.0,-0.3089,Negative
Bhutan,Ketchup,32,['Tomato'],1,Very Poor,65,2080,2024-08-26,2024-11-19,2024-11-24,Would not recommend.,0.0,0.0,0.513,0.487,0.0,-0.2755,Negative
Bangladesh,Toffee,27,['Sugar'],3,Average,10,270,2024-10-07,2024-11-15,2025-01-05,Okay for the price.,0.5,0.5,0.0,0.612,0.388,0.2263,Positive
India,Biscuit,76,"['Wheat', 'Sugar', 'Barley']",0,No Feedback,20,1520,2021-07-03,2021-08-21,2021-10-01,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Nepal,Khari,77,['Cumin'],5,Excellent,35,2695,2022-07-12,2022-09-18,2022-10-10,Exceeded my expectations!,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
Nepal,Biscuit,37,"['Wheat', 'Sugar', 'Barley']",2,Poor,24,888,2022-10-25,2022-12-15,2023-01-23,"Not great, needs improvement.",-0.4,0.75,0.743,0.257,0.0,-0.6979,Negative
Sri-Lanka,Pasta,90,"['Wheat', 'Barley']",2,Poor,100,9000,2022-08-16,2022-10-22,2022-11-14,Not what I expected.,-0.1,0.4,0.0,1.0,0.0,0.0,Neutral
Bhutan,Nachos,70,['Maize'],0,No Feedback,75,5250,2020-12-12,2021-03-02,2021-03-12,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Bangladesh,Toffee,21,['Sugar'],1,Very Poor,10,210,2022-07-04,2022-08-25,2022-10-02,Would not recommend.,0.0,0.0,0.513,0.487,0.0,-0.2755,Negative
Bhutan,Cookie,13,"['Barley', 'Sugar']",5,Excellent,105,1365,2022-03-02,2022-04-05,2022-05-31,Outstanding product quality!,0.625,0.875,0.0,0.318,0.682,0.6476,Positive
India,Maggi,77,['Wheat'],0,No Feedback,25,1925,2022-05-08,2022-07-28,2022-08-06,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Bhutan,Maggi,18,['Wheat'],1,Very Poor,25,450,2022-02-02,2022-04-15,2022-05-03,Very poor quality.,-0.52,0.78,0.629,0.371,0.0,-0.5256,Negative
Nepal,Pie,40,['Sugar'],5,Excellent,45,1800,2020-04-18,2020-06-19,2020-07-17,Exceeded my expectations!,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
India,Maggi,17,['Wheat'],2,Poor,25,425,2021-02-20,2021-04-10,2021-05-21,Not what I expected.,-0.1,0.4,0.0,1.0,0.0,0.0,Neutral
Nepal,Toffee,42,['Sugar'],2,Poor,15,630,2025-01-16,2025-03-10,2025-04-16,"Not great, needs improvement.",-0.4,0.75,0.743,0.257,0.0,-0.6979,Negative
Sri-Lanka,Pasta,31,"['Wheat', 'Barley']",4,Good,100,3100,2020-08-10,2020-09-21,2020-11-08,"Good product, no issues.",0.7,0.6000000000000001,0.31,0.282,0.408,0.1779,Positive
Bangladesh,Pasta,95,"['Wheat', 'Barley']",0,No Feedback,95,9025,2024-01-15,2024-03-01,2024-04-14,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Bangladesh,Nachos,92,['Maize'],3,Average,35,3220,2022-01-07,2022-03-30,2022-04-07,"Average product, nothing special.",0.10357142857142858,0.48571428571428565,0.429,0.571,0.0,-0.3089,Negative
Bhutan,Pasta,25,"['Wheat', 'Barley']",5,Excellent,105,2625,2025-05-14,2025-05-29,2025-08-12,Outstanding product quality!,0.625,0.875,0.0,0.318,0.682,0.6476,Positive
Bhutan,Nachos,38,['Maize'],4,Good,75,2850,2025-07-25,2025-08-08,2025-10-23,Quite happy with the product.,0.8,1.0,0.0,0.5,0.5,0.6115,Positive
Bhutan,Nachos,73,['Maize'],4,Good,75,5475,2021-05-28,2021-06-17,2021-08-26,Satisfactory purchase.,0.0,0.0,0.0,0.286,0.714,0.3612,Positive
Sri-Lanka,Toffee,53,['Sugar'],4,Good,10,530,2021-08-25,2021-11-14,2021-11-23,Satisfactory purchase.,0.0,0.0,0.0,0.286,0.714,0.3612,Positive
India,Pasta,37,"['Wheat', 'Barley']",1,Very Poor,120,4440,2024-04-10,2024-05-07,2024-07-09,Would not recommend.,0.0,0.0,0.513,0.487,0.0,-0.2755,Negative
Bhutan,Toffee,94,['Sugar'],4,Good,15,1410,2024-12-01,2024-12-17,2025-03-01,"Good product, no issues.",0.7,0.6000000000000001,0.31,0.282,0.408,0.1779,Positive
Sri-Lanka,Toffee,73,['Sugar'],2,Poor,10,730,2020-06-19,2020-08-14,2020-09-17,Below average product.,-0.15,0.39999999999999997,0.0,1.0,0.0,0.0,Neutral
Sri-Lanka,Cookie,46,"['Barley', 'Sugar']",2,Poor,85,3910,2024-05-18,2024-08-08,2024-08-16,"Not great, needs improvement.",-0.4,0.75,0.743,0.257,0.0,-0.6979,Negative
Bangladesh,Cookie,23,"['Barley', 'Sugar']",3,Average,80,1840,2023-09-05,2023-11-14,2023-12-04,Decent product overall.,0.08333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,Neutral
Nepal,Pasta,58,"['Wheat', 'Barley']",3,Average,100,5800,2022-11-16,2022-12-07,2023-02-14,Okay for the price.,0.5,0.5,0.0,0.612,0.388,0.2263,Positive
Pakistan,Maggi,39,['Wheat'],5,Excellent,15,585,2021-08-29,2021-10-28,2021-11-27,Absolutely loved it!,0.875,0.8,0.0,0.308,0.692,0.6689,Positive
Bhutan,Ketchup,23,['Tomato'],5,Excellent,65,1495,2024-12-20,2025-01-02,2025-03-20,Outstanding product quality!,0.625,0.875,0.0,0.318,0.682,0.6476,Positive
Bangladesh,Khari,78,['Cumin'],4,Good,20,1560,2024-03-10,2024-05-29,2024-06-08,Quite happy with the product.,0.8,1.0,0.0,0.5,0.5,0.6115,Positive
Pakistan,Khari,68,['Cumin'],0,No Feedback,25,1700,2024-09-22,2024-12-12,2024-12-21,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Bangladesh,Ketchup,23,['Tomato'],4,Good,45,1035,2022-03-01,2022-03-14,2022-05-30,"Good product, no issues.",0.7,0.6000000000000001,0.31,0.282,0.408,0.1779,Positive
Bangladesh,Banana Chips,33,['Banana'],4,Good,35,1155,2022-07-26,2022-09-05,2022-10-24,Quite happy with the product.,0.8,1.0,0.0,0.5,0.5,0.6115,Positive
Bangladesh,Khari,14,['Cumin'],3,Average,20,280,2024-10-13,2024-10-30,2025-01-11,Decent product overall.,0.08333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,Neutral
Sri-Lanka,Toffee,64,['Sugar'],1,Very Poor,10,640,2023-07-15,2023-10-07,2023-10-13,Disappointed with the product.,-0.75,0.75,0.508,0.492,0.0,-0.4767,Negative
Bhutan,Maggi,74,['Wheat'],2,Poor,25,1850,2022-08-12,2022-09-03,2022-11-10,"Not great, needs improvement.",-0.4,0.75,0.743,0.257,0.0,-0.6979,Negative
Pakistan,Ketchup,53,['Tomato'],3,Average,55,2915,2022-11-14,2022-11-25,2023-02-12,"Average product, nothing special.",0.10357142857142858,0.48571428571428565,0.429,0.571,0.0,-0.3089,Negative
Nepal,Maggi,66,['Wheat'],5,Excellent,25,1650,2021-08-08,2021-09-17,2021-11-06,Exceeded my expectations!,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
Nepal,Pasta,35,"['Wheat', 'Barley']",3,Average,100,3500,2020-08-23,2020-09-09,2020-11-21,Okay for the price.,0.5,0.5,0.0,0.612,0.388,0.2263,Positive
Bangladesh,Pie,59,['Sugar'],1,Very Poor,30,1770,2023-09-16,2023-09-29,2023-12-15,Disappointed with the product.,-0.75,0.75,0.508,0.492,0.0,-0.4767,Negative
Bhutan,Pie,38,['Sugar'],4,Good,55,2090,2022-11-10,2023-01-31,2023-02-08,Quite happy with the product.,0.8,1.0,0.0,0.5,0.5,0.6115,Positive
Bhutan,Biscuit,42,"['Wheat', 'Sugar', 'Barley']",2,Poor,25,1050,2021-01-15,2021-03-14,2021-04-15,"Not great, needs improvement.",-0.4,0.75,0.743,0.257,0.0,-0.6979,Negative
Bangladesh,Toffee,64,['Sugar'],2,Poor,10,640,2020-06-15,2020-07-12,2020-09-13,Not what I expected.,-0.1,0.4,0.0,1.0,0.0,0.0,Neutral
Pakistan,Pie,81,['Sugar'],5,Excellent,25,2025,2021-10-22,2021-12-13,2022-01-20,Absolutely loved it!,0.875,0.8,0.0,0.308,0.692,0.6689,Positive
Bangladesh,Toffee,49,['Sugar'],1,Very Poor,10,490,2021-03-11,2021-04-28,2021-06-09,Disappointed with the product.,-0.75,0.75,0.508,0.492,0.0,-0.4767,Negative
Sri-Lanka,Khari,83,['Cumin'],1,Very Poor,35,2905,2024-11-27,2024-12-15,2025-02-25,Disappointed with the product.,-0.75,0.75,0.508,0.492,0.0,-0.4767,Negative
Bhutan,Maggi,70,['Wheat'],3,Average,25,1750,2023-06-22,2023-08-26,2023-09-20,Decent product overall.,0.08333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,Neutral
Bangladesh,Nachos,89,['Maize'],2,Poor,35,3115,2025-05-24,2025-08-07,2025-08-22,"Not great, needs improvement.",-0.4,0.75,0.743,0.257,0.0,-0.6979,Negative
Nepal,Pie,44,['Sugar'],0,No Feedback,45,1980,2020-09-02,2020-11-22,2020-12-01,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Sri-Lanka,Toffee,58,['Sugar'],3,Average,10,580,2025-07-12,2025-08-22,2025-10-10,"Average product, nothing special.",0.10357142857142858,0.48571428571428565,0.429,0.571,0.0,-0.3089,Negative
Bangladesh,Pasta,70,"['Wheat', 'Barley']",5,Excellent,95,6650,2022-01-10,2022-02-12,2022-04-10,Outstanding product quality!,0.625,0.875,0.0,0.318,0.682,0.6476,Positive
Pakistan,Pie,10,['Sugar'],0,No Feedback,25,250,2022-08-30,2022-09-11,2022-11-28,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Nepal,Biscuit,82,"['Wheat', 'Sugar', 'Barley']",0,No Feedback,24,1968,2021-08-11,2021-09-06,2021-11-09,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Bhutan,Cookie,84,"['Barley', 'Sugar']",1,Very Poor,105,8820,2020-11-23,2020-12-07,2021-02-21,Disappointed with the product.,-0.75,0.75,0.508,0.492,0.0,-0.4767,Negative
Sri-Lanka,Biscuit,85,"['Wheat', 'Sugar', 'Barley']",2,Poor,22,1870,2021-04-25,2021-06-20,2021-07-24,"Not great, needs improvement.",-0.4,0.75,0.743,0.257,0.0,-0.6979,Negative
Nepal,Pasta,92,"['Wheat', 'Barley']",4,Good,100,9200,2024-06-28,2024-07-19,2024-09-26,Quite happy with the product.,0.8,1.0,0.0,0.5,0.5,0.6115,Positive
Bangladesh,Pasta,52,"['Wheat', 'Barley']",5,Excellent,95,4940,2021-02-20,2021-03-31,2021-05-21,Exceeded my expectations!,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
India,Khari,30,['Cumin'],3,Average,40,1200,2024-09-08,2024-10-07,2024-12-07,Okay for the price.,0.5,0.5,0.0,0.612,0.388,0.2263,Positive
Sri-Lanka,Ketchup,21,['Tomato'],2,Poor,50,1050,2023-07-29,2023-10-11,2023-10-27,"Not great, needs improvement.",-0.4,0.75,0.743,0.257,0.0,-0.6979,Negative
Bangladesh,Nachos,67,['Maize'],3,Average,35,2345,2021-09-03,2021-10-26,2021-12-02,"Average product, nothing special.",0.10357142857142858,0.48571428571428565,0.429,0.571,0.0,-0.3089,Negative
Bangladesh,Khari,67,['Cumin'],5,Excellent,20,1340,2024-02-29,2024-03-19,2024-05-29,Exceeded my expectations!,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
Pakistan,Khari,57,['Cumin'],4,Good,25,1425,2024-07-18,2024-08-14,2024-10-16,"Good product, no issues.",0.7,0.6000000000000001,0.31,0.282,0.408,0.1779,Positive
Bangladesh,Toffee,80,['Sugar'],5,Excellent,10,800,2024-07-26,2024-08-20,2024-10-24,Absolutely loved it!,0.875,0.8,0.0,0.308,0.692,0.6689,Positive
Bangladesh,Biscuit,23,"['Wheat', 'Sugar', 'Barley']",1,Very Poor,18,414,2020-06-12,2020-08-31,2020-09-10,Disappointed with the product.,-0.75,0.75,0.508,0.492,0.0,-0.4767,Negative
Bangladesh,Biscuit,99,"['Wheat', 'Sugar', 'Barley']",3,Average,18,1782,2020-01-25,2020-04-11,2020-04-24,Decent product overall.,0.08333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,Neutral
Nepal,Maggi,15,['Wheat'],5,Excellent,25,375,2024-06-25,2024-08-22,2024-09-23,Exceeded my expectations!,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
Pakistan,Biscuit,83,"['Wheat', 'Sugar', 'Barley']",5,Excellent,15,1245,2024-11-08,2024-12-31,2025-02-06,Absolutely loved it!,0.875,0.8,0.0,0.308,0.692,0.6689,Positive
India,Pie,19,['Sugar'],2,Poor,50,950,2024-12-30,2025-02-13,2025-03-30,Not what I expected.,-0.1,0.4,0.0,1.0,0.0,0.0,Neutral
India,Nachos,37,['Maize'],4,Good,65,2405,2022-02-06,2022-02-23,2022-05-07,"Good product, no issues.",0.7,0.6000000000000001,0.31,0.282,0.408,0.1779,Positive
Bangladesh,Nachos,34,['Maize'],5,Excellent,35,1190,2024-11-11,2024-12-04,2025-02-09,Exceeded my expectations!,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
Sri-Lanka,Khari,87,['Cumin'],5,Excellent,35,3045,2022-05-31,2022-07-18,2022-08-29,Outstanding product quality!,0.625,0.875,0.0,0.318,0.682,0.6476,Positive
